Date,Price,Open,High,Low,Vol.,Change %
07/13/1996,835.3,839.39,839.73,835.23,15.56M,-0.54%
07/12/1996,839.82,846.76,846.76,838.64,22.31M,-0.89%
07/11/1996,847.39,858.2,862.4,847.39,28.81M,-1.33%
07/10/1996,858.79,858.56,861.14,854.23,27.15M,0.09%
07/09/1996,858.05,847.64,858.1,847.64,21.47M,1.19%
07/08/1996,847.99,850.9,857.27,847.99,20.71M,-0.28%
07/06/1996,850.39,845.1,850.9,845.1,14.65M,0.62%
07/05/1996,845.12,843.17,847.18,838.51,23.47M,0.43%
07/04/1996,841.51,839.1,848.91,839.1,21.95M,0.39%
07/03/1996,838.24,837,839.53,829.87,18.45M,0.04%
07/02/1996,837.93,833.62,844.87,833.61,19.61M,0.50%
07/01/1996,833.79,816.47,833.79,816.05,14.25M,2.00%
06/29/1996,817.43,822.69,822.85,810.81,10.78M,-0.74%
06/28/1996,823.53,820.94,832.99,820.94,17.38M,0.42%
06/27/1996,820.05,822.31,824.88,812.53,21.32M,-0.43%
06/26/1996,823.63,836.64,839.25,822.41,19.22M,-1.59%
06/25/1996,836.94,840.81,842.44,835.01,17.89M,-0.66%
06/24/1996,842.48,855.12,855.12,839.75,20.25M,-1.62%
06/22/1996,856.36,864.11,865.93,856.36,14.39M,-0.92%
06/21/1996,864.27,862.71,868.65,862.71,23.84M,0.30%
06/20/1996,861.72,869.6,871.63,861.22,21.41M,-0.90%
06/19/1996,869.56,862.94,870.71,862.94,22.26M,0.84%
06/18/1996,862.31,857.4,862.33,857.4,19.01M,0.69%
06/17/1996,856.43,859.73,860.97,854.2,16.25M,-0.36%
06/15/1996,859.49,862.42,864.71,852.74,13.25M,-0.35%
06/14/1996,862.53,873.25,873.57,862.44,20.01M,-1.39%
06/13/1996,874.68,872.32,876.46,866.56,22.29M,0.16%
06/12/1996,873.31,888.65,892.53,871.91,24.72M,-1.73%
06/11/1996,888.66,891.3,898.58,888.66,25.14M,-0.39%
06/10/1996,892.17,902.85,907.05,891.48,26.02M,-1.23%
06/08/1996,903.32,907.25,909.07,903.32,16.45M,-0.50%
06/07/1996,907.83,914,917.42,907.83,31.62M,-0.59%
06/05/1996,913.25,910.93,916.45,908.46,29.56M,0.42%
06/04/1996,909.43,898.23,909.56,896.79,21.78M,1.36%
06/03/1996,897.22,904.62,905.92,895.92,21.35M,-1.19%
06/01/1996,907.98,907.24,915.52,906.7,18.06M,0.54%
05/31/1996,903.09,898.84,909.78,898.74,25.13M,0.50%
05/30/1996,898.56,893.85,904.02,886.71,24.08M,0.48%
05/29/1996,894.29,905.91,911.67,894.03,29.25M,-1.32%
05/28/1996,906.21,920.93,921.28,906.15,25.96M,-1.54%
05/27/1996,920.43,911.45,920.6,903.77,28.26M,0.95%
05/25/1996,911.76,919.54,919.54,910.58,18.92M,-0.69%
05/23/1996,918.11,924.9,932.77,917.95,39.97M,-0.64%
05/22/1996,924,918.68,924.37,910.53,29.51M,0.45%
05/21/1996,919.88,935.03,936.38,919.6,27.82M,-1.62%
05/20/1996,935.07,928.85,935.19,925.55,24.30M,0.68%
05/18/1996,928.8,938.02,943.79,928.8,21.51M,-0.93%
05/17/1996,937.51,941.04,945.44,935.53,33.80M,-0.37%
